rownamesbgutotal_R_assets_befor,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,33.07, 1.09, 2.10, 2.88, 0.33, 0.33, 0.33, 0.35, 1.19, 5.56, 6.33, 3.18, 2.40, 5.67, 4.60, 5.92, 1.29, 1.49, 0.86, 2.21, 1.85, 1.54, 3.06, 4.83, 0.87, 2.88, 3.80
Indonesia, 1.24,15.12, 3.84, 2.83, 5.40, 9.61, 0.75, 2.97, 1.46, 3.33, 3.23, 1.86, 1.23, 5.65, 4.73, 1.21, 2.32, 1.35, 0.61, 3.18, 2.56, 3.79, 1.24, 9.86, 1.78, 3.38, 5.47
NaturalGas, 0.24, 1.72,22.88, 9.95, 6.98, 0.22, 1.23, 4.33, 0.62, 2.38, 0.95, 0.25, 0.19, 3.17, 2.17, 0.61, 1.47, 3.05, 0.27, 2.27, 0.52, 1.74, 3.46, 0.35,11.93,13.94, 3.11
Soybean, 1.98, 0.93,12.24, 8.38, 2.28, 7.22, 2.62, 0.65, 6.97, 0.73, 1.51, 1.99, 0.38, 3.93, 4.80, 0.89, 8.40, 2.23, 4.00, 2.44, 3.71, 5.20, 0.95, 6.11, 2.22, 2.34, 4.92
Japan, 1.15, 3.95, 7.56, 1.42, 5.53, 7.43, 0.57, 5.64, 4.42, 1.78, 4.24, 1.39, 1.60, 2.43, 3.26, 1.03, 2.14, 1.47, 1.52, 2.23, 2.32,19.91, 4.38, 1.87, 2.64, 4.35, 3.77
India, 0.52, 5.90, 2.52, 7.04, 5.99,15.88, 1.28, 2.76, 5.43, 1.00, 3.01, 1.92, 2.16, 3.33, 5.69, 1.94, 4.84, 2.23, 0.41, 0.62, 3.86, 7.62, 1.32, 5.88, 0.72, 1.43, 4.72
Turkey, 2.22, 0.81, 7.36, 4.56, 1.09, 2.66, 7.54, 2.76, 6.36, 8.53, 8.89, 1.58, 4.88, 0.98, 7.97, 2.19, 2.47, 2.58, 1.57, 4.69, 6.73, 1.72, 2.63, 1.24, 1.05, 3.84, 1.11
China, 1.56, 4.84, 5.34, 1.04, 5.21, 3.07, 1.89, 9.74, 3.13, 2.56, 1.47, 1.96, 3.17, 6.91, 1.27, 3.82, 2.41, 4.84, 5.53, 2.63, 4.80, 4.69, 1.72, 1.22, 4.05, 7.99, 3.13
Bitcoin, 0.31, 0.17, 0.51, 2.72, 3.14, 0.26, 3.96, 0.44, 1.73, 1.14, 8.00, 0.22, 0.51, 6.97, 0.54, 0.47, 3.69, 0.47, 0.55, 0.15,50.07, 0.25, 2.81, 0.84, 0.48, 7.60, 2.01
france, 3.02, 1.00, 2.54, 1.83, 0.34, 1.12, 3.89, 0.75, 0.74, 3.47,20.84, 8.67, 0.30, 8.04,19.71, 1.78, 2.03, 0.91, 1.23, 0.37, 2.71, 0.96, 0.77, 1.42, 0.57, 0.70,10.27
Italy, 3.10, 0.57, 1.31, 1.42, 1.15, 1.52, 3.42, 0.41, 3.82,17.91, 1.35, 8.73, 0.80, 6.57,17.55, 2.57, 1.88, 1.10, 1.40, 0.18, 5.40, 2.16, 1.09, 3.09, 1.16, 2.25, 8.09
UK, 1.87, 2.10, 1.64, 1.87, 1.92, 2.96, 0.46, 1.03, 0.64,10.88,12.97, 4.34, 1.40, 3.72,14.70, 8.01, 2.16, 1.35, 1.34, 0.64, 3.36, 2.56, 1.32, 3.13, 1.86, 4.68, 7.08
oil, 2.16, 1.03, 6.71, 0.38, 1.94, 1.52, 0.18, 2.80, 0.98, 0.64, 1.57, 2.64, 9.58,10.66, 1.01,12.60, 3.69, 2.03, 2.47, 2.62, 2.12, 5.42, 3.05, 6.99, 0.72, 4.98, 9.51
Canada, 2.21, 1.79, 3.63, 2.55, 1.38, 0.62, 0.24, 1.26, 3.09, 7.57, 7.23, 2.34, 6.10, 2.22, 5.57, 4.67, 0.99, 6.84, 1.38, 0.64, 6.11, 4.50, 0.96, 0.90, 1.70, 1.51,22.01
Germany, 2.25, 0.84, 1.44, 3.52, 1.36, 3.75, 3.27, 0.27, 0.64,15.39,16.13, 9.43, 0.97, 5.21, 4.39, 2.44, 3.34, 0.73, 0.87, 0.53, 1.59, 4.61, 1.18, 4.33, 0.66, 0.89, 9.98
Agentina, 4.98, 0.32, 2.31, 0.94, 0.73, 0.18, 1.51, 3.07, 1.41, 1.33, 4.13,10.01,12.30, 8.06, 3.96, 6.26, 0.81,10.26, 0.18, 1.27, 0.97, 3.98, 1.02, 7.59, 1.34, 2.56, 8.54
corn, 0.82, 0.48, 3.56, 8.86, 0.80, 2.44, 0.42, 2.52, 3.37, 0.47, 0.57, 2.48, 4.94, 3.17, 1.19, 2.65,11.44, 3.13,12.96, 0.35, 3.84, 0.72, 5.13,13.31, 1.55, 2.07, 6.78
Aluminium, 1.61, 0.39, 5.83, 3.13, 0.63, 0.49, 1.85, 3.12, 1.40, 1.30, 1.13, 1.50, 2.43,14.34, 0.97,15.16, 1.21,11.18, 3.45, 1.06, 2.69, 0.85, 2.03, 3.73, 8.08, 2.14, 8.31
Wheat, 0.71, 0.48, 2.76, 5.78, 0.88, 0.60, 1.98, 5.14, 2.53, 0.73, 0.66, 2.45, 4.04, 3.68, 0.68, 0.97,19.83, 2.69,13.54, 3.29, 2.74, 0.58, 5.17,13.34, 1.80, 0.81, 2.13
Gold, 2.21, 2.75, 5.49, 1.35, 3.62, 1.22, 4.86, 4.92, 2.58, 1.22, 0.95, 0.93, 6.03, 2.49, 1.46, 4.26, 1.48, 2.28, 5.11,12.39, 6.49, 2.87, 3.54, 1.93, 4.91, 9.50, 3.15
Ethereum, 0.19, 0.07, 0.63, 2.20, 0.22, 0.25, 2.18, 0.64,36.98, 4.04, 8.67, 3.14, 0.23,10.18, 2.60, 0.23, 2.36, 1.68, 0.14, 1.40, 2.45, 1.73, 0.65, 0.14, 0.98,10.20, 5.81
Southkorea, 1.02, 1.30, 4.64, 4.16,16.98, 6.87, 1.25, 3.75, 0.91, 1.48, 3.66, 2.64, 4.03, 5.78, 7.15, 3.58, 0.81, 0.80, 0.77, 0.75, 1.77,10.42, 1.79, 2.54, 1.25, 3.71, 6.17
Sugar, 2.43, 0.90, 5.93, 0.80, 1.21, 0.29, 0.29, 2.18, 2.73, 1.47, 0.76, 0.80, 7.16, 2.18, 2.20, 4.37, 6.49, 3.58, 4.54, 2.02, 1.67, 0.76,21.60,12.92, 0.85, 8.33, 1.56
Mexico, 3.67, 5.75, 2.31, 5.25, 0.34, 5.05, 0.28, 0.64, 2.02, 0.82, 3.60, 3.04, 5.19, 2.01, 4.93, 5.79,10.27, 2.15, 6.41, 1.86, 3.80, 1.95, 7.17, 5.38, 3.15, 2.35, 4.82
Tehther, 1.13, 1.89,11.62, 3.20, 4.35, 0.92, 2.76, 3.62, 6.52, 1.77, 2.79, 4.11, 1.52, 4.10, 2.36, 3.73, 2.44, 8.20, 1.74, 4.18, 5.41, 1.46, 1.37, 5.43, 9.54, 2.57, 1.27
Russia, 1.67, 1.73,10.15, 2.27, 1.99, 0.83, 0.44, 7.29, 5.04, 0.97, 3.35, 5.13, 2.47, 2.03, 1.79, 2.38, 2.24, 1.09, 0.89, 6.41, 9.09, 3.42, 5.24, 1.85, 0.44,17.33, 2.47
US, 1.04, 1.15, 4.59, 2.87, 3.05, 1.90, 0.37, 0.24, 0.94, 8.44, 7.81, 3.95, 4.68,20.14, 9.57, 4.44, 3.38, 4.87, 1.00, 0.46, 3.00, 4.50, 0.55, 2.68, 0.86, 0.72, 2.80
