rownamesbgutotal_V_assets_befor,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,  5.81,  3.69,  0.59,  0.95,  3.64,  2.24,  3.39,  4.57,  3.61,  5.87,  4.23,  5.84,  3.64,  6.65,  5.23,  0.41,  0.77,  0.27,  0.68,  4.66,  3.60,  3.33,  3.54,  6.51,  1.49,  6.15,  8.63
Indonesia,  2.04,  4.05,  0.76,  1.27,  5.31,  5.51,  4.93,  4.39,  2.59,  6.16,  3.45,  6.33,  4.54,  7.11,  6.63,  0.19,  0.15,  0.55,  0.67,  6.55,  2.59,  4.34,  2.55,  2.97,  0.56,  7.07,  6.74
NaturalGas,  1.52,  2.94,  4.87,  4.22,  2.69,  3.49,  2.83,  3.01,  4.21,  5.08,  2.88,  6.11,  3.57,  4.65,  4.05,  4.86,  1.07,  3.04,  4.82,  5.06,  4.22,  2.62,  4.23,  4.29,  0.52,  4.98,  4.17
Soybean,  1.93,  3.70,  1.66,  0.97,  5.58,  3.16,  2.92,  5.35,  8.35,  4.25,  3.07,  3.51,  2.68,  4.58,  4.35,  4.77,  2.03,  0.54,  0.21,  3.35,  8.35,  5.59,  8.37,  2.27,  0.29,  3.69,  4.47
Japan,  1.84,  4.76,  0.26,  3.42,  0.61,  5.70,  5.45,  5.99,  4.62,  5.79,  4.85,  4.72,  4.47,  5.97,  6.53,  1.31,  0.49,  0.20,  0.39,  4.53,  4.61,  6.73,  4.59,  1.68,  0.28,  5.28,  4.95
India,  1.21,  5.91,  0.95,  1.18,  6.68,  0.47,  5.90,  4.87,  2.19,  6.56,  5.06,  6.17,  5.39,  6.98,  7.50,  0.29,  0.03,  0.93,  0.36,  7.31,  2.18,  5.37,  2.15,  2.04,  0.32,  7.11,  4.90
Turkey,  2.02,  5.61,  0.57,  1.81,  6.85,  6.40,  4.25,  3.54,  2.90,  6.54,  5.82,  5.58,  3.76,  6.01,  7.37,  0.53,  0.04,  1.58,  0.49,  4.70,  2.90,  3.99,  2.86,  2.17,  0.21,  5.81,  5.69
China,  2.38,  4.51,  0.13,  3.81,  6.52,  4.75,  3.08,  1.59,  5.47,  5.07,  4.01,  4.26,  4.82,  5.64,  5.74,  1.67,  1.54,  0.14,  0.61,  4.40,  5.46,  6.81,  5.44,  1.55,  0.69,  5.24,  4.68
Bitcoin,  3.23,  3.85,  1.29,  6.59,  5.40,  3.06,  3.36,  5.46,  0.00,  4.68,  3.43,  3.78,  2.74,  4.89,  4.71,  3.73,  1.87,  0.76,  0.36,  3.19,  8.10,  5.13,  8.09,  2.99,  0.11,  3.89,  5.32
france,  2.86,  5.21,  1.42,  1.41,  5.35,  5.26,  4.88,  4.31,  2.72,  0.11,  6.01,  7.26,  5.81,  7.11,  7.33,  0.13,  0.23,  0.42,  0.02,  5.22,  2.71,  4.15,  2.68,  3.23,  0.69,  6.99,  6.47
Italy,  2.90,  3.70,  0.69,  2.01,  5.69,  5.32,  5.58,  4.72,  3.22,  7.94,  2.12,  6.53,  6.28,  6.18,  7.79,  0.48,  0.29,  0.34,  0.12,  3.57,  3.21,  3.83,  3.18,  2.31,  0.82,  6.02,  5.15
UK,  3.07,  5.84,  2.07,  0.72,  4.74,  5.38,  4.57,  3.90,  1.87,  7.86,  5.41,  0.61,  5.99,  7.57,  7.22,  0.10,  0.09,  0.26,  0.02,  5.99,  1.87,  3.62,  1.82,  3.32,  1.45,  7.78,  6.86
oil,  2.22,  4.58,  1.63,  1.00,  5.22,  5.46,  3.83,  4.82,  2.01,  7.41,  6.18,  6.99,  5.16,  6.43,  7.02,  0.08,  0.58,  0.08,  0.10,  5.20,  2.00,  4.12,  1.97,  1.65,  1.99,  7.10,  5.18
Canada,  3.03,  5.91,  1.03,  1.29,  5.55,  5.46,  4.42,  4.74,  2.75,  6.83,  4.56,  6.70,  5.01,  0.29,  6.91,  0.14,  0.21,  0.40,  0.15,  6.17,  2.74,  4.95,  2.70,  3.58,  0.65,  7.02,  6.81
Germany,  2.33,  5.45,  0.74,  1.57,  5.99,  5.95,  5.35,  4.83,  2.86,  7.13,  5.82,  6.42,  5.50,  6.89,  0.13,  0.34,  0.18,  0.57,  0.21,  5.33,  2.86,  4.74,  2.82,  2.92,  0.38,  6.67,  6.01
Agentina,  0.65,  1.31,  3.30, 10.85,  3.96,  1.59,  1.66,  4.39,  9.89,  1.63,  1.72,  1.38,  1.04,  1.64,  2.07, 16.90,  2.17,  0.53,  1.74,  1.15,  9.90,  4.15, 10.00,  0.70,  2.86,  1.37,  1.47
corn,  6.65,  2.93,  1.36,  5.22,  3.03,  3.17,  2.07,  4.86,  6.94,  3.51,  2.33,  3.30,  3.12,  3.89,  3.33,  3.27,  4.39,  0.88,  0.24,  3.24,  6.94,  3.27,  6.95,  4.79,  1.79,  3.92,  4.60
Aluminium,  2.31,  4.96,  5.16,  0.73,  2.72,  5.26,  7.14,  3.67,  1.50,  4.42,  2.83,  4.10,  3.26,  4.86,  5.00,  1.12,  1.85,  3.30,  0.60,  5.56,  1.50,  2.42,  1.48,  8.14,  6.14,  4.63,  5.33
Wheat,  3.48,  5.21,  9.86,  1.53,  3.68,  4.24,  3.60,  3.63,  2.46,  4.21,  4.86,  4.13,  3.17,  4.26,  4.24,  3.73,  0.73,  1.50,  5.00,  4.40,  2.45,  3.47,  2.43,  4.37,  0.80,  4.16,  4.38
Gold,  2.81,  6.90,  1.82,  0.43,  5.24,  7.15,  4.46,  4.36,  1.55,  6.34,  3.36,  6.74,  5.11,  7.81,  6.72,  0.06,  0.04,  0.82,  0.25,  1.34,  1.54,  4.73,  1.51,  3.60,  0.66,  8.01,  6.65
Ethereum,  3.23,  3.85,  1.29,  6.59,  5.40,  3.06,  3.36,  5.45,  8.11,  4.68,  3.43,  3.78,  2.74,  4.88,  4.70,  3.73,  1.87,  0.76,  0.36,  3.19,  0.00,  5.13,  8.10,  3.00,  0.11,  3.89,  5.32
Southkorea,  1.75,  4.61,  0.23,  3.63,  7.62,  5.41,  3.94,  6.76,  4.93,  5.31,  4.03,  4.31,  4.31,  6.06,  6.07,  1.56,  0.79,  0.24,  0.38,  4.71,  4.92,  1.45,  4.90,  1.88,  0.22,  5.12,  4.87
Sugar,  3.23,  3.83,  1.30,  6.62,  5.39,  3.05,  3.34,  5.45,  8.12,  4.67,  3.42,  3.77,  2.73,  4.87,  4.69,  3.78,  1.88,  0.76,  0.35,  3.19,  8.12,  5.13,  0.00,  3.01,  0.11,  3.88,  5.31
Mexico,  6.25,  5.75,  2.76,  0.38,  3.08,  3.33,  3.63,  2.52,  1.90,  6.23,  3.68,  6.33,  2.89,  7.46,  6.02,  0.69,  0.56,  3.76,  0.38,  5.87,  1.89,  2.79,  1.87,  3.58,  0.71,  6.67,  9.04
Tehther,  5.26,  4.30,  1.45,  0.91,  3.33,  3.11,  3.32,  3.78,  1.85,  5.60,  4.59,  6.91,  6.94,  5.58,  4.60,  3.29,  2.32,  3.59,  0.18,  4.29,  1.84,  2.51,  1.81,  2.50,  3.98,  6.60,  5.57
Russia,  3.17,  6.14,  1.37,  0.72,  5.07,  5.84,  4.48,  4.54,  2.00,  7.13,  4.69,  7.29,  5.79,  7.47,  7.04,  0.03,  0.30,  0.35,  0.13,  6.75,  2.00,  4.21,  1.96,  3.45,  1.22,  0.21,  6.66
US,  4.32,  6.13,  0.96,  1.34,  5.02,  4.25,  4.69,  4.27,  3.10,  6.79,  4.17,  6.66,  4.40,  7.45,  6.67,  0.15,  0.22,  0.66,  0.16,  5.69,  3.10,  4.28,  3.05,  4.76,  0.53,  6.81,  0.35
