markets,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil,33.85, 0.48, 0.01, 0.02, 1.58, 0.70, 0.53, 0.19, 8.89, 3.57, 6.27, 3.57, 3.04, 6.85, 5.17, 2.92, 0.01, 0.01, 0.21, 1.13, 9.53, 1.48, 1.41, 3.11, 1.77, 0.41, 3.28
Indonesia, 0.82,57.21, 0.00, 0.63, 4.39, 6.59, 0.15, 0.94, 1.40, 0.72, 0.89, 1.97, 2.57, 2.08, 1.29, 0.47, 0.84, 0.07, 0.88, 1.10, 3.32, 4.56, 0.55, 0.76, 1.75, 1.64, 2.42
NaturalGas, 0.00, 0.00,96.13, 0.00, 1.72, 0.03, 0.00, 0.00, 0.04, 0.06, 0.03, 0.28, 0.36, 0.08, 0.06, 0.00, 0.01, 0.00, 0.00, 0.01, 0.05, 0.89, 0.03, 0.06, 0.00, 0.02, 0.13
Soybean, 0.03, 0.54, 0.00,62.32, 0.12, 0.00, 0.27, 0.02, 0.24, 0.05, 0.11, 0.31, 0.20, 0.36, 0.06, 0.03,16.78, 0.15,10.41, 0.61, 0.20, 0.29, 0.35, 2.11, 0.30, 3.67, 0.46
Japan, 1.46, 2.41, 7.90, 0.08,31.46, 5.66, 0.34, 1.62, 2.52, 2.01, 2.42, 5.24, 3.90, 6.59, 3.06, 0.54, 0.07, 0.00, 0.01, 1.57, 2.42, 7.33, 0.08, 1.95, 0.86, 0.67, 7.82
India, 0.88, 4.86, 0.20, 0.00, 7.59,42.20, 0.33, 1.18, 5.23, 1.89, 3.56, 2.07, 2.57, 3.97, 3.08, 0.74, 0.05, 0.09, 0.05, 1.21, 4.97, 3.76, 0.10, 1.43, 4.43, 0.63, 2.91
Turkey, 0.95, 0.16, 0.00, 0.33, 0.65, 0.48,87.72, 0.05, 0.45, 0.50, 0.65, 0.64, 0.35, 1.14, 0.58, 0.09, 0.12, 0.00, 0.19, 0.60, 0.42, 0.09, 0.00, 2.39, 0.12, 0.47, 0.86
China, 0.43, 1.28, 0.00, 0.04, 4.01, 2.18, 0.06,77.83, 0.01, 0.31, 0.29, 0.75, 0.56, 1.02, 0.67, 0.70, 0.06, 0.24, 0.05, 0.46, 0.00, 5.29, 0.40, 0.34, 0.23, 0.77, 1.99
Bitcoin, 0.84, 0.08, 0.02, 0.02, 0.26, 0.40, 0.02, 0.00,39.20, 0.75, 5.22, 1.29, 0.09, 3.47, 0.93, 0.65, 0.04, 0.00, 0.07, 0.32,36.62, 0.25, 0.17, 2.90, 5.98, 0.08, 0.35
france, 2.16, 0.26, 0.18, 0.02, 1.31, 0.92, 0.17, 0.08, 4.81,20.49, 9.31,10.39, 8.28, 4.86,15.65, 0.81, 0.07, 0.00, 0.12, 4.64, 4.61, 0.60, 0.11, 3.94, 0.91, 0.53, 4.75
Italy, 2.40, 0.20, 0.07, 0.03, 0.99, 1.09, 0.14, 0.05,21.19, 5.87,12.92, 4.87, 1.95, 6.14, 6.94, 1.29, 0.09, 0.00, 0.24, 1.23,19.89, 0.71, 0.24, 4.45, 4.40, 0.46, 2.15
UK, 1.92, 0.63, 0.74, 0.11, 3.03, 0.89, 0.19, 0.17, 7.37, 9.23, 6.86,18.20,11.97, 5.55, 8.04, 1.21, 0.21, 0.01, 0.21, 2.80, 8.02, 1.12, 0.17, 4.32, 1.39, 1.19, 4.44
oil, 0.22, 0.11, 0.13, 0.01, 0.31, 0.15, 0.01, 0.02, 0.07, 1.00, 0.37, 1.62,91.84, 0.40, 0.77, 0.28, 0.11, 0.02, 0.04, 0.78, 0.08, 0.20, 0.11, 0.51, 0.00, 0.25, 0.60
Canada, 3.02, 0.54, 0.17, 0.11, 3.13, 1.40, 0.28, 0.20,16.26, 3.54, 7.10, 4.56, 2.39,14.93, 4.54, 1.59, 0.09, 0.00, 0.17, 0.91,15.60, 2.31, 0.24, 5.10, 3.17, 0.39, 8.25
Germany, 2.96, 0.44, 0.16, 0.02, 1.88, 1.41, 0.19, 0.17, 5.66,14.80,10.40, 8.56, 6.08, 5.89,19.38, 0.99, 0.06, 0.00, 0.22, 2.17, 5.80, 0.75, 0.17, 3.81, 1.31, 0.66, 6.09
Agentina, 3.25, 0.31, 0.00, 0.02, 0.65, 0.66, 0.05, 0.34, 7.70, 1.49, 3.75, 2.51, 4.30, 4.01, 1.92,53.80, 0.19, 0.03, 0.03, 0.54, 7.00, 0.60, 0.06, 2.09, 3.10, 0.11, 1.48
corn, 0.01, 0.69, 0.08,15.95, 0.10, 0.06, 0.10, 0.04, 0.54, 0.16, 0.34, 0.53, 2.11, 0.29, 0.14, 0.23,55.17, 0.05,18.50, 0.56, 0.40, 0.53, 0.54, 0.84, 0.07, 1.78, 0.19
Aluminium, 0.02, 0.11, 0.00, 0.31, 0.00, 0.20, 0.00, 0.30, 0.00, 0.02, 0.00, 0.03, 0.61, 0.01, 0.00, 0.08, 0.11,97.49, 0.34, 0.10, 0.01, 0.09, 0.06, 0.01, 0.09, 0.00, 0.00
Wheat, 0.24, 0.61, 0.02, 8.33, 0.01, 0.05, 0.12, 0.03, 0.88, 0.22, 0.75, 0.46, 0.57, 0.46, 0.44, 0.03,15.58, 0.14,67.61, 0.33, 0.77, 0.81, 0.41, 0.27, 0.00, 0.86, 0.00
Gold, 1.28, 0.73, 0.05, 0.48, 1.90, 1.10, 0.38, 0.22, 3.87, 8.64, 3.63, 5.88,11.98, 2.34, 4.26, 0.55, 0.45, 0.04, 0.32,38.16, 3.02, 1.89, 0.26, 4.39, 0.71, 1.31, 2.19
Ethereum, 0.84, 0.17, 0.02, 0.01, 0.23, 0.35, 0.02, 0.00,34.10, 0.67, 4.57, 1.31, 0.09, 3.10, 0.89, 0.55, 0.03, 0.00, 0.06, 0.23,43.64, 0.28, 0.22, 2.42, 5.73, 0.09, 0.39
Southkorea, 1.72, 3.15, 5.11, 0.23, 9.20, 3.52, 0.06, 2.68, 3.13, 1.15, 2.15, 2.42, 3.17, 6.12, 1.53, 0.63, 0.45, 0.04, 0.81, 1.95, 3.79,39.46, 0.26, 2.28, 0.84, 0.59, 3.56
Sugar, 2.58, 0.60, 0.29, 0.45, 0.15, 0.15, 0.00, 0.32, 3.37, 0.35, 1.16, 0.58, 2.79, 1.01, 0.56, 0.09, 0.71, 0.04, 0.65, 0.43, 4.65, 0.40,76.65, 0.84, 0.29, 0.10, 0.78
Mexico, 1.78, 0.26, 0.17, 0.83, 1.20, 0.66, 0.77, 0.08,17.65, 3.73, 6.69, 4.61, 4.03, 6.64, 3.81, 1.08, 0.35, 0.00, 0.13, 2.23,15.83, 1.12, 0.26,19.42, 2.94, 0.66, 3.06
Tehther, 0.86, 0.50, 0.00, 0.10, 0.45, 1.73, 0.03, 0.05,30.87, 0.73, 5.61, 1.26, 0.00, 3.49, 1.11, 1.35, 0.03, 0.02, 0.00, 0.30,31.77, 0.35, 0.08, 2.49,16.46, 0.01, 0.35
Russia, 0.69, 1.63, 0.20, 4.22, 1.21, 0.84, 0.44, 0.56, 1.35, 1.47, 2.01, 3.70, 5.66, 1.47, 1.94, 0.17, 2.16, 0.00, 1.24, 1.95, 1.78, 0.85, 0.09, 1.92, 0.02,59.06, 3.39
US, 2.45, 1.07, 0.47, 0.24, 6.28, 1.74, 0.36, 0.65, 2.80, 5.86, 4.20, 6.17, 6.09,13.96, 7.94, 0.99, 0.11, 0.00, 0.00, 1.45, 3.30, 2.28, 0.32, 3.98, 0.53, 1.51,25.26
